price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,state
895,apartment,550,1,1,1,1,1,0,0,0,laundry on site,off-street parking,tx
350,apartment,1200,5,2,0,1,0,0,0,0,laundry in bldg,off-street parking,pa
1325,apartment,855,2,1,1,1,0,0,0,0,w/d in unit,carport,or
1120,apartment,864,2,1,0,0,0,0,0,0,w/d in unit,off-street parking,fl
740,apartment,700,1,1,1,1,1,0,0,0,laundry in bldg,off-street parking,il
1695,apartment,525,1,1,1,1,1,0,0,0,laundry on site,carport,ca
898,apartment,920,2,2,1,1,1,0,0,0,w/d in unit,off-street parking,ia
2400,apartment,1726,2,2,0,0,0,0,0,1,w/d in unit,off-street parking,ny
2000,apartment,748,1,1,1,1,1,0,0,0,w/d in unit,detached garage,nj
2750,apartment,930,1,1,1,1,0,0,0,0,laundry on site,carport,ca
1400,apartment,1100,3,1,0,0,1,0,0,0,no laundry on site,street parking,nj
1195,apartment,692,1,1,1,1,1,0,0,0,w/d in unit,carport,az
880,apartment,670,2,1,1,1,1,0,0,0,laundry in bldg,carport,mi
665,apartment,736,1,1,1,1,1,0,0,0,laundry on site,carport,oh
450,apartment,750,2,1,1,1,1,0,0,0,no laundry on site,off-street parking,oh
1295,apartment,1800,2,1.5,0,0,0,0,0,0,w/d hookups,off-street parking,vt
764,apartment,689,1,1,1,1,1,0,0,0,w/d hookups,off-street parking,al
395,apartment,750,5,1.5,0,0,1,0,0,1,laundry in bldg,off-street parking,mn
995,apartment,1144,2,2,1,1,1,0,0,0,w/d in unit,attached garage,wi
1050,apartment,850,1,1,1,1,0,0,0,0,w/d hookups,carport,or
600,apartment,800,2,1,0,0,1,0,0,0,w/d hookups,street parking,oh
1799,apartment,1575,4,2,1,1,0,0,0,0,w/d in unit,detached garage,mn
1154,apartment,550,1,1.5,1,1,1,0,0,0,w/d in unit,off-street parking,nc
695,apartment,970,2,2,0,0,1,0,0,0,w/d hookups,off-street parking,ms
3290,apartment,680,1,1,1,1,0,0,0,1,w/d in unit,attached garage,dc
1275,apartment,1100,3,1,1,0,0,0,0,0,w/d hookups,street parking,ny
799,apartment,615,2,1,0,0,1,0,0,0,laundry on site,off-street parking,az
539,apartment,1056,2,1,1,1,0,0,0,0,laundry on site,off-street parking,ne
1600,apartment,1500,4,1,0,0,0,0,0,0,laundry in bldg,street parking,mn
999,apartment,900,2,1,1,1,0,0,0,0,laundry in bldg,off-street parking,mi
2550,apartment,538,1,1,1,1,0,1,1,0,w/d in unit,attached garage,ca
1400,apartment,900,2,1,1,0,0,0,0,0,w/d hookups,off-street parking,ri
1025,apartment,1376,3,2,0,1,0,1,0,0,w/d in unit,attached garage,wi
1125,apartment,900,1,1,1,0,1,0,0,0,w/d in unit,off-street parking,nj
1250,apartment,1600,2,1,1,0,0,0,0,0,w/d hookups,off-street parking,mt
1250,apartment,800,1,1,1,1,1,0,0,0,w/d in unit,off-street parking,ny
1225,apartment,712,2,2,1,1,0,0,0,0,w/d in unit,off-street parking,mi
2200,apartment,1400,3,2,0,0,1,0,0,0,w/d in unit,attached garage,ca
995,apartment,621,1,1,1,1,0,0,0,0,w/d hookups,off-street parking,sc
548,apartment,650,1,1,1,1,0,0,0,0,laundry in bldg,off-street parking,ia
650,apartment,600,1,1,0,0,1,0,0,0,w/d hookups,off-street parking,pa
1145,apartment,900,2,1,1,0,1,0,0,0,w/d hookups,carport,ca
655,apartment,863,2,1,1,1,0,0,0,0,laundry on site,off-street parking,ok
985,apartment,890,2,1,1,1,1,0,0,0,w/d in unit,street parking,oh
1625,apartment,1180,2,2,1,1,1,0,0,0,w/d in unit,carport,ca
1304,apartment,1424,3,2,1,1,1,0,0,0,w/d hookups,off-street parking,nc
2173,apartment,620,1,1,1,1,0,0,0,0,laundry on site,carport,ca
1520,apartment,1327,2,2,1,1,1,0,0,0,w/d in unit,off-street parking,la
1719,apartment,839,1,1,1,1,1,1,0,0,w/d in unit,attached garage,tx
2495,apartment,1684,3,2,1,1,1,0,0,1,w/d in unit,attached garage,mi
1000,apartment,1000,2,0,1,0,1,0,0,1,no laundry on site,off-street parking,ma
1265,apartment,1310,2,1.5,1,1,0,0,0,0,w/d in unit,street parking,tn
725,apartment,700,1,1,0,0,1,0,0,0,laundry in bldg,off-street parking,pa
1895,apartment,858,2,2,1,0,1,0,0,0,laundry on site,detached garage,ca
1619,apartment,1304,2,2,1,1,0,1,0,0,w/d in unit,attached garage,va
1334,apartment,904,2,2,1,1,1,0,0,0,w/d in unit,off-street parking,va
1085,apartment,1080,3,1,1,1,1,0,0,0,laundry on site,off-street parking,fl
1750,apartment,700,2,1,0,0,1,0,0,0,laundry on site,carport,ca
1270,apartment,780,1,1,1,0,1,0,0,0,w/d in unit,attached garage,mn
1330,apartment,1090,2,2,0,0,1,0,0,0,w/d in unit,carport,id
625,apartment,750,2,1,1,1,1,0,0,0,no laundry on site,off-street parking,tn
1659,apartment,1150,2,2,0,0,0,0,0,1,w/d in unit,off-street parking,va
2205,apartment,2120,3,4,1,1,1,0,0,0,w/d in unit,attached garage,la
1500,apartment,1090,3,1,0,0,0,0,0,0,laundry on site,off-street parking,ri
575,apartment,975,2,1,0,0,1,0,0,0,laundry in bldg,off-street parking,nc
1485,apartment,681,1,1,1,1,1,0,0,0,w/d in unit,carport,ca
1141,apartment,825,2,1,1,1,1,0,0,0,laundry on site,off-street parking,va
750,apartment,950,2,1,0,0,1,0,0,0,no laundry on site,street parking,pa
871,apartment,900,2,1,1,1,0,1,0,0,laundry on site,street parking,ne
